
1998,2003,2008,code,name
767,447,"1,550.00",12002,Ahuacuotzingo
428,"1,184.00","1,944.00",12004,Alcozauca de Guerrero
147,"1,458.00",883,12010,Atlixtac
547,"1,042.00","2,309.00",12024,Cualác
"20,077.00","40,753.00","68,586.00",12028,Chilapa de Álvarez
"6,405.00","8,382.00","5,685.00",12033,Huamuxtitlán
95,69,253,12041,Malinaltepec
748,"3,109.00","12,024.00",12042,Mártir de Cuilapan
11,334,372,12043,Metlatónoc
"6,275.00","6,837.00","12,557.00",12045,Olinalá
"1,691.00","4,697.00","5,407.00",12062,Tlacoachistlahuaca
"20,471.00","39,865.00","60,300.00",12066,Tlapa de Comonfort
169,242,665,12069,Xalpatláhuac
"1,274.00","5,489.00","9,581.00",12071,Xochistlahuaca
237,117,30,12072,Zapotitlán Tablas
"53,437.00","47,253.00","61,137.00",13001,Acatlán
"109,063.00","133,973.00","84,051.00",13002,Acaxochitlán
"2,328.00","4,742.00","4,183.00",13004,Agua Blanca de Iturbide
"33,789.00","9,354.00","54,733.00",13006,Alfajayucan
"1,595.00","2,726.00","3,086.00",13011,Atlapexco
"1,770.00","1,857.00","4,412.00",13014,Calnali
"5,458.00","2,247.00","3,388.00",13015,Cardonal
"141,241.00","148,245.00","134,166.00",13016,Cuautepec de Hinojosa
"2,842.00","4,880.00","6,123.00",13018,Chapulhuacán
787,696,"4,495.00",13019,Chilcuautla
"1,221.00","1,483.00","2,165.00",13024,Huasca de Ocampo
129,38,452,13026,Huazalingo
"1,434.00","3,031.00","3,083.00",13027,Huehuetla
"25,736.00","45,083.00","74,806.00",13028,Huejutla de Reyes
"39,998.00","63,288.00","108,397.00",13030,Ixmiquilpan
"4,555.00","4,238.00","6,466.00",13031,Jacala de Ledezma
"8,400.00","6,715.00","23,565.00",13035,Metepec
"2,158.00","3,144.00","5,494.00",13037,Metztitlán
212,475,"1,114.00",13038,Mineral del Chico
401,546,"1,685.00",13040,La Misión
"1,841.00","3,707.00","5,983.00",13042,Molango de Escamilla
431,819,303,13043,Nicolás Flores
"1,186.00",596,"1,457.00",13045,Omitlán de Juárez
"9,457.00","13,220.00","18,378.00",13046,San Felipe Orizatlán
27,,90,13047,Pacula
"2,095.00","3,114.00","3,406.00",13049,Pisaflores
"3,298.00","2,917.00","2,720.00",13053,San Bartolo Tutotepec
"3,934.00","13,845.00","98,232.00",13057,Singuilucan
"2,363.00","2,377.00","7,245.00",13058,Tasquillo
"6,475.00","10,216.00","14,073.00",13059,Tecozautla
"2,542.00","3,931.00","3,414.00",13060,Tenango de Doria
45,,106,13062,Tepehuacán de Guerrero
"1,562.00",644,"6,221.00",13068,Tianguistengo
,150,,13071,Tlahuiltepa
"1,378,922.00","1,347,495.00","1,605,973.00",13077,Tulancingo de Bravo
700,514,"1,348.00",13078,Xochiatipan
79,281,"1,192.00",13080,Yahualica
"189,690.00","223,159.00","189,600.00",13081,Zacualtipán de Ángeles
